Serial Number,Points of Presence,"Total Subscribers eligible for Govt Credit under Swavalamban for FY 2013-14 as on March 29, 2014",Subscribers eligible for Govt Credit for the first time,Subscribers eligible for Govt Credit for the second time,Subscribers eligible for Govt Credit for the third time,Subscribers eligible for Govt Credit for the fourth time,Subscribers eligible for Govt Credit for the fifth time
1,Abhipra Capital Limited,76,8,17,16,35,0
2,Alankit Assignments Limited,686,87,162,277,158,2
3,Allahabad Bank,2,0,1,1,0,0
4,Axis Bank Limited,137,42,28,28,14,25
5,Bajaj Capital Limited,57,24,21,6,6,0
6,Bank of Baroda,273,42,231,0,0,0
7,Bank of Maharashtra,222,155,67,0,0,0
8,Central Bank of India,1,1,0,0,0,0
9,Citi Bank NA,4,0,2,0,2,0
10,Computer Age Management Services Private Limited,879,141,346,310,64,18
11,Elite Wealth Advisors Limited,0,0,0,0,0,0
12,HDFC Securities Limited,14,10,4,0,0,0
13,ICICI Bank Limited,69,15,22,19,6,7
14,ICICI Securities Limited,355,88,96,170,1,0
15,IDBI Bank Limited,72,17,33,16,6,0
16,IL&FS Securities Services Limited,228,16,35,95,67,15
17,India Infoline Finance Ltd,0,0,0,0,0,0
18,India Post NPS Nodal Office,563,77,180,225,81,0
19,Integrated Enterprises (India) Limited,122,19,31,52,20,0
20,Karvy Financial Services Limited,0,0,0,0,0,0
21,Kotak Mahindra Bank Limited,66,6,10,18,25,7
22,LICHFL Financial Services Limited,0,0,0,0,0,0
23,Marwadi Shares and Finance Limited,412,98,172,129,13,0
24,Microsec Capital Limited,5,0,0,0,5,0
25,Muthoot Finance Limited,0,0,0,0,0,0
26,Oriental Bank of Commerce,25,9,9,7,0,0
27,Punjab National Bank,0,0,0,0,0,0
28,Reliance Capital Limited,141,36,39,51,8,7
29,State Bank of Bikaner & Jaipur,0,0,0,0,0,0
30,State Bank of Hyderabad,119,11,24,51,30,3
31,State Bank of India,238,62,100,51,15,10
32,State Bank of Mysore,0,0,0,0,0,0
33,State Bank of Patiala,3,0,3,0,0,0
34,State Bank of Travancore,31,2,10,19,0,0
35,Steel City securities Limited,66,9,25,17,15,0
36,Stock Holding Corporation Of India Limited,124,51,22,43,8,0
37,Syndicate Bank,119,10,100,9,0,0
38,Tamilnad Mercantile Bank Ltd,0,0,0,0,0,0
39,The Lakshmi Vilas Bank Limited,2,1,1,0,0,0
40,The South Indian Bank Limited,323,107,114,57,29,16
41,Union Bank Of India,10,9,0,1,0,0
42,United Bank of India ,249,83,166,0,0,0
43,UTI Asset Management Company Limited,26,2,5,8,8,3
44,UTI Infrastructure Technology And Services Limited,164,18,44,74,28,0
45,Way2Wealth Brokers Private Limited,0,0,0,0,0,0
46,Yes Bank Limited,0,0,0,0,0,0
47,Zen Securities Limited,27,4,8,5,10,0
Total,Total,5910,1260,2128,1755,654,113
