States/UTs,Total (A+B),Surfaced-Total (A),Surfaced-W.B.M.,Surfaced-B.T./C.C,Unsurfaced-Total (B),Unsurfaced-Motorable,Unsurfaced-Non-Motorable
Andhra Pradesh,13820,10971,3490,7481,2849,2846,3
Arunachal Pradesh,53,53,0,53,0,0,0
Assam,6520,4578,466,4112,1942,1301,641
Bihar,9883,4514,1425,3089,5369,5351,18
Chhattisgarh,7326,5545,1041,4503,1781,816,965
Goa,469,409,77,332,60,53,7
Gujarat,21718,16796,2178,14618,4922,3518,1404
Haryana,8552,6183,447,5735,2369,1457,912
Himachal Pradesh,2199,1747,99,1648,451,226,225
Jammu and Kashmir,1762,1752,2,1750,10,10,0
Jharkhand,514,472,37,435,42,29,13
Karnataka,24078,15426,4635,10791,8652,5923,2729
Kerala,13296,10874,1183,9691,2422,1606,816
Madhya Pradesh,14144,9919,3039,6880,4225,2300,1925
Maharashtra,20400,15199,6159,9040,5201,5155,46
Manipur,168,114,22,92,54,54,0
Meghalaya,110,106,0,106,4,1,3
Mizoram,311,272,3,269,39,39,0
Nagaland,98,96,1,95,2,1,1
Odisha,17844,6615,27,6588,11229,11229,0
Punjab,8085,6517,710,5807,1568,1058,510
Rajasthan,12564,10528,5316,5212,2036,871,1165
Sikkim,67,67,3,64,0,0,0
Tamil Nadu,17574,14803,985,13818,2772,2043,729
Tripura,278,209,90,119,69,57,12
Uttarakhand,4429,3146,277,2869,1284,915,369
Uttar Pradesh,76464,50233,22,50211,26231,15922,10309
West Bengal,88161,59725,4228,55496,28436,11797,16639
Andaman and Nicobar Islands,56,56,4,52,0,0,0
Chandigarh,1613,1613,1,1612,0,0,0
Dadra and Nagar Haveli,NA,NA,0,0,NA,0,0
Daman and Diu,35,35,2,33,0,0,0
Delhi,29088,20402,12,20390,8686,7045,1641
Lakshadweep,1,1,0,1,0,0,0
Puducherry,768,739,117,622,29,1,28
ALL INDIA,402447,279713,36099,243614,122735,81624,41110
