States/UTs,2009,2010,2011,2012
Andhra Pradesh,14617,23490,0,19298
Arunachal Pradesh,0,10,7,0
Assam,0,5828,6569,6535
Bihar,0,0,0,0
Chhattisgarh,0,0,0,0
Goa,0,0,0,0
Gujarat,0,0,4671,8089
Haryana,0,0,0,0
Himachal Pradesh,0,0,1492,1020
Jammu and Kashmir,1899,1907,3978,4100
Jharkhand,0,3609,1521,2845
Karnataka,0,0,0,0
Kerala,31,0,0,0
Madhya Pradesh,0,0,0,0
Maharashtra,8959,50298,47888,46311
Manipur,0,477,0,0
Meghalaya,0,0,0,0
Mizoram,0,0,0,0
Nagaland,0,4,0,0
Odisha,0,0,0,0
Punjab,1514,1122,1053,907
Rajasthan,0,0,1809,6065
Sikkim,0,21,0,0
Tamil Nadu,0,0,0,10636
Tripura,0,0,0,0
Uttarakhand,0,0,0,393
Uttar Pradesh,0,0,190,0
West Bengal,0,13064,11719,8511
Andaman and Nicobar Islands,0,0,0,0
Chandigarh,424,174,66,58
Dadra and Nagar Haveli,9,13,21,8
Daman and Diu,10,19,34,25
Delhi,7516,7260,7281,6937
Lakshadweep,0,0,0,3
Puducherry,761,651,453,0
Total,35740,107947,88752,121741
